mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_num_leaves,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
2073.2850699424744,762.6466329075965,0.8374327818552653,0.23918894892867804,0.8,0.05,10,100,50,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 10, 'n_estimators': 100, 'num_leaves': 50, 'subsample': 0.8}",0.9598132737974426,0.9623129596753741,0.9603715482861326,0.9608325939196497,0.0010713012894673067,53
2437.822692155838,694.7441070619675,1.1562966505686443,0.5868189423338329,0.8,0.05,10,100,50,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 10, 'n_estimators': 100, 'num_leaves': 50, 'subsample': 1.0}",0.9598132737974426,0.9623129596753741,0.9603715482861326,0.9608325939196497,0.0010713012894673067,53
384.345227877299,59.28799939583757,2.3372646967569985,1.820168195226561,0.8,0.05,10,200,31,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 10, 'n_estimators': 200, 'num_leaves': 31, 'subsample': 0.8}",0.9661840639870406,0.9702037093341441,0.9678297700685761,0.9680725144632536,0.0016499658198446177,41
498.7548000017802,105.76358257555287,2.1930618286132812,1.8827282879383536,0.8,0.05,10,200,31,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 10, 'n_estimators': 200, 'num_leaves': 31, 'subsample': 1.0}",0.9661840639870406,0.9702037093341441,0.9678297700685761,0.9680725144632536,0.0016499658198446177,41
5131.869930664699,118.6057991157759,26.38277800877889,18.53269149505286,0.8,0.05,10,200,50,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 10, 'n_estimators': 200, 'num_leaves': 50, 'subsample': 0.8}",0.9681174089068826,0.9724064604323832,0.9686460328662163,0.9697233007351608,0.0019095148237523259,33
5873.284431934357,124.90548295586676,2.291684707005819,1.5184648663181106,0.8,0.05,10,200,50,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 10, 'n_estimators': 200, 'num_leaves': 50, 'subsample': 1.0}",0.9681174089068826,0.9724064604323832,0.9686460328662163,0.9697233007351608,0.0019095148237523259,33
253.06157358487448,18.356889192041713,1.5945437749226887,0.2857914476934072,0.8,0.1,-1,100,31,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': -1, 'n_estimators': 100, 'num_leaves': 31, 'subsample': 0.8}",0.969580401882877,0.9727787897186805,0.9701251513928139,0.9708281143314571,0.0013971492062728834,31
258.6666335264842,8.809388025951561,1.2519981861114502,0.22265092275846404,0.8,0.1,-1,100,31,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': -1, 'n_estimators': 100, 'num_leaves': 31, 'subsample': 1.0}",0.969580401882877,0.9727787897186805,0.9701251513928139,0.9708281143314571,0.0013971492062728834,31
1560.0491638978322,997.4562555376363,1.3852813243865967,0.8316785170396445,0.8,0.1,-1,100,50,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': -1, 'n_estimators': 100, 'num_leaves': 50, 'subsample': 0.8}",0.97244273651211,0.9757428744693754,0.9740796772566818,0.9740884294127223,0.0013472898931861728,19
1081.3292651176453,1059.2042469530911,1.7535431385040283,0.8224621143495262,0.8,0.1,-1,100,50,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': -1, 'n_estimators': 100, 'num_leaves': 50, 'subsample': 1.0}",0.97244273651211,0.9757428744693754,0.9740796772566818,0.9740884294127223,0.0013472898931861728,19
959.061845699946,384.2855064766986,1.9142448902130127,0.456522612992058,0.8,0.1,-1,200,31,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': -1, 'n_estimators': 200, 'num_leaves': 31, 'subsample': 0.8}",0.976497346474602,0.9796495480482755,0.9773048214645955,0.977817238662491,0.0013369174067712221,5
526.0347604751587,27.30966784954407,1.7762467861175537,1.0745988939160775,0.8,0.1,-1,200,31,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': -1, 'n_estimators': 200, 'num_leaves': 31, 'subsample': 1.0}",0.976497346474602,0.9796495480482755,0.9773048214645955,0.977817238662491,0.0013369174067712221,5
7978.424098571141,187.9244742480392,1.6561367511749268,0.6497833418844726,0.8,0.1,-1,200,50,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': -1, 'n_estimators': 200, 'num_leaves': 50, 'subsample': 0.8}",0.9767136434813356,0.980510956275876,0.9793159116133588,0.9788468371235234,0.0015853326197060006,1
7906.038340648015,528.8241781883637,1.3071925640106201,0.19111638704825887,0.8,0.1,-1,200,50,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': -1, 'n_estimators': 200, 'num_leaves': 50, 'subsample': 1.0}",0.9767136434813356,0.980510956275876,0.9793159116133588,0.9788468371235234,0.0015853326197060006,1
246.61152799924216,14.510424076822991,1.6709622542063396,0.7182212979305392,0.8,0.1,10,100,31,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 100, 'num_leaves': 31, 'subsample': 0.8}",0.9657929359376581,0.9704585761337725,0.9678297700685761,0.9680270940466689,0.0019098433049419402,43
259.48177218437195,16.281164380180687,1.3044050534566243,0.5084110939768807,0.8,0.1,10,100,31,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 100, 'num_leaves': 31, 'subsample': 1.0}",0.9657929359376581,0.9704585761337725,0.9678297700685761,0.9680270940466689,0.0019098433049419402,43
1661.152400970459,1080.2147525744322,0.7446197668711344,0.1579711308015875,0.8,0.1,10,100,50,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 100, 'num_leaves': 50, 'subsample': 0.8}",0.9676538966946325,0.9716024340770791,0.9686632689105313,0.9693065332274143,0.0016749285758256042,35
1907.1235372225444,1154.541748417589,1.2125985622406006,0.4118607575975137,0.8,0.1,10,100,50,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 100, 'num_leaves': 50, 'subsample': 1.0}",0.9676538966946325,0.9716024340770791,0.9686632689105313,0.9693065332274143,0.0016749285758256042,35
274.7989432811737,8.671952866999826,1.3275975386301677,0.5913600627368395,0.8,0.1,10,200,31,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 200, 'num_leaves': 31, 'subsample': 0.8}",0.9727355346864587,0.976287982203347,0.9744622978894877,0.9744952715930978,0.0014504680368554214,11
416.7250403563182,62.245991251668094,1.963504393895467,1.326258739171763,0.8,0.1,10,200,31,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 200, 'num_leaves': 31, 'subsample': 1.0}",0.9727355346864587,0.976287982203347,0.9744622978894877,0.9744952715930978,0.0014504680368554214,11
